index,state,comp_2017,comp_2018,comp_2019,comp_2020,comp_2021
1,Alabama,19.2,19.1,18.9,18.8,18.7
2,Alaska,19.8,20.8,20.1,20.1,20.6
3,Arizona,19.7,19.2,19.0,19.1,19.8
4,Arkansas,19.4,19.4,19.3,19.0,19.0
5,California,22.8,22.7,22.6,23.3,26.1
6,Colorado,20.8,23.9,23.8,23.7,23.6
7,Connecticut,25.2,25.6,25.5,25.9,27.2
8,Delaware,24.1,23.8,24.1,24.2,25.7
9,District of Columbia,24.2,,23.5,23.1,25.6
10,Florida,19.8,19.9,20.1,20.6,20.4
11,Georgia,21.4,21.4,21.4,21.7,22.6
12,Hawaii,19.0,18.9,19.0,18.5,18.2
13,Idaho,22.3,22.3,22.5,22.7,23.0
14,Illinois,21.4,23.9,24.3,24.7,25.2
15,Indiana,22.6,22.5,22.5,22.6,23.1
16,Iowa,21.9,21.8,21.6,21.1,21.5
17,Kansas,21.7,21.6,21.2,20.4,19.9
18,Kentucky,20.0,20.2,19.8,19.5,19.2
19,Louisiana,19.5,19.2,18.8,18.7,18.4
20,Maine,24.3,24.0,24.3,24.9,25.6
21,Maine,24.3,24.0,24.3,24.9,25.6
22,Maryland,23.6,22.5,22.3,23.8,25.5
23,Massachusetts,25.4,25.5,25.5,26.0,27.6
24,Michigan,24.1,24.2,24.4,24.6,25.1
25,Minnesota,21.5,21.3,21.4,21.3,21.6
26,Mississippi,18.6,18.6,18.4,18.2,18.1
27,Missouri,20.4,20.0,20.8,20.7,20.6
28,Montana,20.3,20.0,19.8,19.9,20.4
29,Nebraska,21.4,20.1,20.0,19.9,20.0
30,Nevada,17.8,17.7,17.9,17.9,17.8
31,New Hampshire,25.5,25.1,25.0,25.7,26.6
32,New Jersey,23.9,23.7,24.2,24.4,25.1
33,New Mexico,19.7,19.4,19.3,19.3,20.7
34,New York,24.2,24.5,24.5,24.9,26.3
35,North Carolina,19.1,19.1,19.0,18.8,18.9
36,North Dakota,20.3,20.3,19.9,19.6,19.6
37,Ohio,22.0,20.3,20.0,19.9,19.6
38,Oklahoma,19.4,19.3,18.9,18.7,19.7
39,Oregon,21.8,21.3,21.1,21.0,20.6
40,Pennsylvania,23.7,23.5,23.6,23.7,25.0
41,Rhode Island,24.0,24.2,24.7,24.8,25.8
42,South Carolina,18.7,18.3,18.8,18.4,18.6
43,South Dakota,21.8,21.9,21.6,21.7,21.6
44,Tennessee,19.8,19.6,19.4,19.3,19.1
45,Texas,20.7,20.7,20.5,20.2,20.1
46,Utah,20.3,20.4,20.3,20.2,20.6
47,Vermont,23.6,24.1,24.1,23.3,24.7
48,Virginia,23.8,23.9,24.0,24.4,25.5
49,Washington,21.9,22.2,22.1,22.9,23.6
50,West Virginia,20.4,20.3,20.8,20.9,20.8
51,Wisconsin,20.5,20.5,20.3,20.1,20.0
52,Wyoming,20.2,20.0,19.8,19.7,19.8
